brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;down_payment_percent;installments;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;25/26;GAC GS4 Premium 2.0 HEV CVT 2526;R$189.990;R$0;R$10.000;0,00;00;00;;0Y;R$0;R$0;R$0;R$10.000;0;202508
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;25/26;GAC GS4 Elite 2.0 HEV CVT 2526;R$199.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
GM;Tracker;1.0 TGDI AT;CHEV/TRACKER T A;25/26;GM Tracker 1.0 TGDI AT 2526;R$119.900;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
GM;Tracker;LT 1.0 TGDI AT;"I/CHEV TRACKER T A LT;CHEV/TRACKER T A LT";25/26;GM Tracker LT 1.0 TGDI AT 2526;R$154.090;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
GM;Tracker;LTZ 1.0 TGDI AT;CHEV/TRACKER T A LTZ;25/26;GM Tracker LTZ 1.0 TGDI AT 2526;R$169.490;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
GM;Tracker;Premier 1.2 TGDI AT;"I/CHEV TRACKER 12T A PR;CHEV/TRACKER 12T A PR";25/26;GM Tracker Premier 1.2 TGDI AT 2526;R$189.590;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
GM;Tracker;RS 1.2 TGDI AT;CHEV/TRACKER 12T A RS;25/26;GM Tracker RS 1.2 TGDI AT 2526;R$190.590;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Honda;HR-V;EX 1.5 CVT;"HONDA/HR-V EX;HONDA/HR-V EX HS";25/26;Honda HR-V EX 1.5 CVT 2526;R$163.200;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Honda;HR-V;EXL 1.5 CVT;"HONDA/HR-V EXL;HONDA/HR-V EXL HS";25/26;Honda HR-V EXL 1.5 CVT 2526;R$170.900;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Honda;HR-V;Advance 1.5 TGDI CVT;HONDA/HR-V ADVANCE;25/26;Honda HR-V Advance 1.5 TGDI CVT 2526;R$199.400;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Honda;HR-V;Touring  1.5 TGDI CVT;HONDA/HR-V TOURING;25/26;Honda HR-V Touring  1.5 TGDI CVT 2526;R$209.900;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;25/26;Hyundai Creta Comfort 1.0 TGDI AT 2526;R$151.290;R$10.000;R$0;0,00;60;18;R$6.000;0Y;R$0;R$0;R$7.400;R$7.400;0;202508
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;25/26;Hyundai Creta Limited 1.0 TGDI AT 2526;R$167.290;R$13.500;R$0;0,00;60;18;R$6.700;0Y;R$0;R$0;R$5.500;R$20.200;0;202508
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;25/26;Hyundai Creta Platinum 1.0 TGDI AT 2526;R$182.890;R$8.000;R$0;0,00;60;18;R$7.300;0Y;R$0;R$0;R$5.000;R$5.000;0;202508
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;25/26;Hyundai Creta Ultimate 1.6 TGDI DCT 2526;R$199.590;R$6.000;R$0;0,00;60;18;R$7.900;0Y;R$0;R$0;R$5.000;R$5.000;0;202508
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;25/26;Hyundai Creta N Line 1.0 TGDI AT 2526;R$189.890;R$8.000;R$0;0,00;60;18;R$7.500;0Y;R$0;R$0;R$5.600;R$5.600;0;202508
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;25/26;Jeep Compass Sport 1.3 TGDI AT 2526;R$169.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Chery;Tiggo 8;Pro 1.5 TCI PHEV DHT;I/CAOACHERY TIGGO8 PHEV;25/26;Chery Tiggo 8 Pro 1.5 TCI PHEV DHT 2526;R$269.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Chery;Tiggo 7;Pro 1.5 TCI HEV CVT;CAOACHERY/TIGGO7 PRO HA;25/26;Chery Tiggo 7 Pro 1.5 TCI HEV CVT 2526;R$174.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Nivus;Sense 1.0 TGDI AT;VW/NIVUS SENSE TSI;25/26;VW Nivus Sense 1.0 TGDI AT 2526;R$119.990;R$0;R$0;0,00;80;12;R$1.400;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;25/26;VW Nivus Comfortline 1.0 TGDI AT 2526;R$146.290;R$5.000;R$5.000;0,99;40;48;R$8.400;0Y;R$0;R$0;R$1.000;R$1.000;0;202508
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;25/26;VW Nivus Highline 1.0 TGDI AT 2526;R$163.290;R$12.800;R$5.200;0,99;50;36;R$5.500;0Y;R$0;R$0;R$2.000;R$2.000;0;202508
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;25/26;VW Nivus GTS 1.4 TGDI AT 2526;R$179.990;R$0;R$0;0,00;70;18;R$5.000;0Y;R$0;R$0;R$0;R$0;0;202508
VW;T-Cross;Sense 1.0 TGDI AT;VW/T CROSS SENSE TSI;25/26;VW T-Cross Sense 1.0 TGDI AT 2526;R$119.990;R$0;R$0;0,00;70;18;R$3.300;0Y;R$0;R$0;R$0;R$0;0;202508
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;25/26;VW T-Cross 1.0 TGDI AT 2526;R$154.990;R$8.600;;0,00;60;24;R$8.200;0Y;R$0;R$0;R$0;R$0;0;202508
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;25/26;VW T-Cross Comfortline 1.0 TGDI AT 2526;R$174.290;R$7.000;R$10.000;0,00;60;24;R$9.200;0Y;R$0;R$0;R$0;R$0;0;202508
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;25/26;VW T-Cross Highline 1.4 TGDI AT 2526;R$187.490;R$10.000;R$5.000;0,00;60;30;R$1.200;0Y;R$0;R$0;R$2.000;R$2.000;0;202508
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;25/26;VW T-Cross Extreme 1.4 TGDI AT 2526;R$191.990;R$10.000;R$5.000;0,00;60;30;R$1.300;0Y;R$0;R$0;R$2.000;R$2.000;0;202508
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;25/25;VW Taos Comfortline 1.4 TGDI AT 2525;R$206.990;R$5.000;R$0;0,00;60;24;R$11.000;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;25/25;VW Taos Highline 1.4 TGDI AT 2525;R$231.990;R$10.000;R$0;0,00;60;24;R$12.300;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Tiguan;Allspace R-Line 2.0 TGDI AT;I/VW TIGUAN ALLSPACE RL;25/25;VW Tiguan Allspace R-Line 2.0 TGDI AT 2525;R$305.990;R$9.000;R$11.000;0,49;60;24;R$10.700;0Y;R$0;R$0;R$5.000;R$5.000;0;202508
VW;Tera;1.0 MPI MT;VW/TERA MPI;25/26;VW Tera 1.0 MPI MT 2526;R$103.990;R$0;R$0;0,00;80;12;R$1.200;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Tera;1.0 TGDI MT;VW/TERA TSI;25/26;VW Tera 1.0 TGDI MT 2526;R$116.990;R$0;R$0;0,00;80;12;R$1.300;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;25/26;VW Tera Comfort 1.0 TGDI AT 2526;R$126.990;R$5.000;R$0;0,00;60;18;R$5.000;0Y;R$0;R$0;R$0;R$0;0;202508
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;25/26;VW Tera High 1.0 TGDI AT 2526;R$139.990;R$5.000;R$0;0,00;60;18;R$5.600;0Y;R$0;R$0;R$0;R$0;0;202508
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;25/26;Nissan Kicks Sense 1.0 TGDI DCT 2526;R$164.990;R$0;R$11.200;0,00;70;18;R$4.600;0Y;R$0;R$0;R$800;R$800;0;202508
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;25/26;Nissan Kicks Advance 1.0 TGDI DCT 2526;R$175.990;R$0;R$11.200;0,00;70;18;R$4.900;0Y;R$0;R$0;R$800;R$800;0;202508
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;25/26;Nissan Kicks Exclusive 1.0 TGDI DCT 2526;R$182.490;R$0;R$7.200;0,00;70;18;R$5.100;0Y;R$0;R$0;R$300;R$300;0;202508
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;25/26;Nissan Kicks Platinum 1.0 TGDI DCT 2526;R$199.000;R$0;R$8.500;0,00;70;18;R$5.500;0Y;R$0;R$0;R$510;R$510;0;202508
Geely;EX5;Pro EV;I/GEELY EX5 PRO;25/26;Geely EX5 Pro EV 2526;R$205.800;R$0;R$10.000;0,99;50;24;R$4.600;0Y;R$0;R$4.000;R$0;R$0;0;202508
Geely;EX5;Max EV;I/GEELY EX5 MAX;25/26;Geely EX5 Max EV 2526;R$225.800;R$0;R$10.000;0,99;50;24;R$5.100;0Y;R$0;R$4.000;R$0;R$0;0;202508
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;25/26;GWM Ora 03 Skin EV 2526;R$169.000;R$15.000;R$10.000;0,00;60;32;R$11.900;1Y;R$0;R$0;R$3.080;R$3.080;0;202508
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;25/26;GWM Ora 03 GT EV 2526;R$199.000;R$10.000;R$10.000;0,00;60;24;R$10.500;1Y;R$0;R$0;R$3.780;R$3.780;0;202508
GWM;Haval H6;One 1.5 TGDI HEV DHT;I/GWM HAVAL H6 HEV;25/25;GWM Haval H6 One 1.5 TGDI HEV DHT 2525;R$199.000;R$0;R$10.000;0,89;50;36;R$8.200;1Y;R$0;R$0;R$4.000;R$4.000;0;202508
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";25/25;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;R$220.000;R$0;R$15.000;0,00;60;24;R$11.700;1Y;R$0;R$0;R$5.000;R$26.700;0;202508
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";25/25;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;R$245.000;R$0;R$15.000;0,00;60;24;R$13.000;1Y;R$0;R$0;R$5.000;R$28.000;0;202508
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;25/25;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;R$288.000;R$0;R$25.000;0,00;60;24;R$15.300;1Y;R$0;R$0;R$10.000;R$40.300;0;202508
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;25/25;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;R$325.000;R$0;R$25.000;0,00;60;24;R$17.200;1Y;R$0;R$0;R$10.000;R$10.000;0;202508
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;25/26;BYD Dolphin GS EV 2526;R$149.990;R$0;R$5.000;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;25/26;BYD Dolphin Mini GS EV 2526;R$119.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
